Sample.Name,Atha_Col.0_Root_Zone.I_Rep1,Atha_Col.0_Root_Zone.I_Rep2,Atha_Col.0_Root_Zone.I_Rep3,Atha_Col.0_Root_Zone.II_Rep1,Atha_Col.0_Root_Zone.II_Rep2,Atha_Col.0_Root_Zone.II_Rep3
AT1G05140,72.13006956,35.0603005,52.18404926,16.39873539,3.068882709,12.87553049
AT1G05150,94.28907726,163.0932946,150.3949957,128.6952105,103.9392509,113.3649785
AT1G05160,37.3528405,36.82191831,43.54634891,47.53694544,59.30845479,57.51144513
AT1G05170,34.49394961,33.18933684,66.01313882,71.92169273,60.81517745,52.65058358
AT1G05180,149.8071691,175.0278153,142.4225094,146.7065938,215.9402185,162.6830319
AT1G05190,92.83091217,87.559594,49.59741075,206.0692504,87.29217958,124.3950055
AT1G05200,6.192620283,13.23920849,16.33428198,3.568704072,4.013056438,7.613390789
AT1G05205,474.7259378,446.7707572,469.2938368,481.5218994,454.7577933,497.6408743
AT1G05210,74.87272716,91.54925133,136.2661226,215.8542591,236.4237819,277.7459178
AT1G05230,7.373870752,7.177683627,11.89345016,8.107880687,9.114894416,9.384844969
AT1G05240,28.27467824,13.41642086,9.317122935,2.721670076,10.19779534,5.152424871
AT1G05260,1817.089222,2562.312158,2276.579929,903.1935093,495.9977587,437.6587158
AT1G05270,180.9591637,217.6425094,250.8583092,104.6165055,80.72629215,130.4916789
AT1G05280,0,0,0,30.98643063,80.80700269,73.8698816
AT1G05300,43.18580472,14.39121361,4.750031549,4.661912382,0,7.90882168
AT1G05310,120.1901278,44.33637865,33.611623,0,0,0
AT1G05320,142.0636082,90.17280904,46.83627152,33.69967874,17.36800572,18.93828394
AT1G05340,110.2645898,88.47677516,59.59048149,0,0,0
AT1G05350,123.4722733,152.6842208,147.6218939,202.6951697,190.9675864,179.4414488
AT1G05360,109.7483069,92.23867833,135.0648424,243.5907555,237.0597731,104.8561777
AT1G05370,0,1.03144851,5.805947322,4.549277535,11.24171452,3.433934723
AT1G05380,151.3073932,153.4357975,136.1520069,151.2550448,116.6349783,157.8324674
AT1G05385,20.3621645,14.60478188,4.26881938,11.21104604,8.520540813,14.98427956
AT1G05400,7.39810954,13.02040603,8.172691285,0.930278454,8.341299938,7.50783724
AT1G05410,41.67772701,64.72967982,34.70777537,135.4397908,134.347769,153.0701888
AT1G05430,165.9769098,124.6905641,189.528588,220.3032705,239.9720425,165.6071061
AT1G05440,1.045683532,0,0,30.95283799,57.25489343,22.31926034
AT1G05460,28.14676206,5.134906999,18.56850328,38.50989751,32.42309811,27.72287087
AT1G05470,88.17149167,60.27880168,66.81594593,8.212021387,40.01130574,10.3762861
AT1G05490,13.6303091,33.04363233,43.22012096,4.522998493,3.052763379,8.589883298
AT1G05500,385.8250016,333.831005,316.5773471,158.6226112,143.3560413,170.0011549
AT1G05520,243.0532566,244.6385293,240.1583304,311.7779335,287.3677941,300.5880566
AT1G05530,0,1.031391798,13.93027421,16.38199758,8.177494491,23.17839126
AT1G05560,22.92494917,11.78096619,33.77839468,70.79971737,54.08563769,19.42508215
