Sample.Name,Atha_Col.0_HypocotylCC_WT_FLT_Rep1,Atha_Col.0_HypocotylCC_WT_FLT_Rep2,Atha_Col.0_HypocotylCC_WT_FLT_Rep3,Atha_Col.0_HypocotylCC_WT_FLT_Rep4,Atha_Col.0_HypocotylCC_WT_FLT_Rep5,Atha_Col.0_HypocotylCC_WT_GC_Rep1,Atha_Col.0_HypocotylCC_WT_GC_Rep2,Atha_Col.0_HypocotylCC_WT_GC_Rep3,Atha_Col.0_HypocotylCC_WT_GC_Rep4,Atha_Col.0_HypocotylCC_WT_GC_Rep5,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep1,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep2,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep3,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep1,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep2,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep3
AT4G01760,1.922403157,1.777875877,1.764087019,1.671454609,1.911103293,1.676359864,1.932326385,1.831639213,2.010864072,1.70256316,1.835636828,1.80216178,1.971818707,2.032955833,1.913171306,2.008413689
AT4G01790,4.195544846,4.337145087,4.024332751,4.775624459,4.34467451,4.707790299,4.661221604,4.54517687,4.181419082,4.422134325,4.184112201,4.462317816,3.690522441,2.80964,4.11031783,3.396643424
AT4G01800,2.320969606,2.13366574,2.364394667,2.266502541,2.183736853,2.268932,2.105726943,2.251059055,1.993591891,2.09690251,2.044108927,2.215650475,2.275429551,2.034912955,2.140276098,2.092315405
AT4G01810,2.167399204,2.328491272,2.197288885,2.153756677,2.336260556,2.598509937,2.133284664,2.446495311,2.132503555,2.202515882,2.323335488,2.056427371,2.194453554,2.183692195,2.114943192,2.238241273
AT4G01830,1.700780922,2.038212294,1.824265165,1.91801401,1.902024164,1.952313971,1.745218501,1.660272768,1.54914944,1.653746247,1.670907039,1.941860266,1.847905185,2.000028457,2.047293884,1.962428876
AT4G01840,2.427110206,2.882988237,2.494322806,3.226988736,2.424580054,2.690291542,2.592752353,2.546095793,2.029869825,2.475221888,2.747607999,2.17879758,2.435575727,2.486629914,2.52423965,2.207430038
AT4G01850,10.11980174,10.00266102,10.13467933,10.13344327,10.13721139,10.05606333,9.895099064,10.25301807,10.34971836,10.04146301,9.661367509,9.595866363,9.782071402,9.562220772,9.535673874,9.72655335
AT4G01860,2.561220181,2.265604025,2.585185484,2.008579326,2.20738909,2.67437822,2.022388825,2.29040332,2.198481928,2.121100837,2.322980877,2.201736291,2.17752774,2.267670239,2.086306822,2.342956527
AT4G01870,7.752249175,7.710232141,8.457513953,7.655192442,6.661129495,7.868643857,7.256749338,7.220719273,7.87798901,7.666028422,8.439004318,7.494300966,8.619950808,8.108269319,8.423863844,7.874449243
AT4G01880,1.988018108,2.0673787,2.328118963,2.202220747,2.16354014,2.460945162,2.258763077,2.391841153,2.105172405,2.51899134,2.054747407,2.138587731,1.881678436,2.37040599,1.986908394,2.072293461
AT4G01897,2.126414159,1.853074751,2.074722929,2.092893333,2.346206173,2.173220814,2.20402485,2.174187078,2.11022916,2.017918879,1.801228592,2.370230274,2.112282769,2.340063759,1.937423685,1.969167379
AT4G01900,2.076767354,2.317445891,2.277534138,2.1664187,2.222395052,2.304054165,2.112365919,2.2482816,2.689502388,2.370314556,2.147755052,2.381492752,2.283319691,2.326531373,2.29662926,2.313011552
AT4G01940,3.255261864,3.116247529,3.117446107,2.89904011,3.091655685,3.139482976,3.023532142,3.14421276,2.851407332,3.363965474,3.096425354,3.627795765,3.389651155,2.79828088,2.945018442,2.637873823
AT4G01950,2.015584375,2.189147784,1.947043763,2.047068752,2.277660026,2.143262659,2.071019956,2.193992985,2.217428235,2.365332113,1.983283108,1.981142661,2.232940667,2.733416295,2.208416501,2.098695048
AT4G01960,6.005476794,6.226916161,6.056889167,5.925663398,6.113335253,6.165667467,6.33576641,6.019864382,6.066264165,6.289714872,5.745137348,5.485821583,5.805216629,6.007496792,5.984693824,5.947579398
AT4G01990,2.281786026,2.208219622,2.220175591,2.306721406,2.007698877,2.309608557,2.098942709,2.343768356,2.414636687,2.493702916,2.477364193,2.270320921,2.347241313,1.996244497,2.286107015,2.371766716
AT4G02010,3.179178128,2.418797193,2.646970544,2.649075491,2.22955567,2.73666602,2.422312003,2.842654866,2.233708717,2.306370451,2.178768926,2.067214574,2.6134335,2.375837328,2.752588595,2.472436608
AT4G02020,6.227415917,5.69059322,6.296403088,5.742757862,6.453914592,6.237874508,5.675128155,6.506566093,6.028002499,5.882421446,5.58373056,5.279000493,5.569683058,5.272681698,5.592659191,5.37084367
AT4G02030,4.449008906,4.303338018,4.465263818,4.53352943,4.650654224,4.961387608,4.915419983,4.803448113,4.439820616,4.49428605,4.034872991,3.566975505,4.311574688,4.17899305,4.009392441,4.284045738
AT4G02050,2.596484532,2.413489054,2.640831867,2.534225033,2.70825454,2.729869681,3.052487183,2.902497499,2.568512166,2.799290204,2.915602324,2.678413673,2.933220033,2.720920163,3.021755333,2.823475963
AT4G02060,2.215114549,2.285790921,2.492499481,2.137071947,2.510070436,2.286161963,2.339034388,2.207876297,2.166166806,2.097951483,2.288709125,2.510070436,2.197547334,2.758119174,2.110373599,2.136953781
AT4G02070,2.082531371,2.239654399,2.208887753,1.961073333,1.832570771,2.13975573,2.105638362,2.164370426,2.102629731,2.18381878,2.05635956,1.926558023,2.171430476,2.178510608,2.279801476,2.056319471
AT4G02075,1.648136636,1.94480625,1.700302445,1.916286119,2.158609678,1.907344871,2.149585708,1.768782467,1.704748571,2.070634236,1.813578682,1.923386775,1.867134718,1.963298115,2.290648423,1.889310983
AT4G02080,8.678805829,8.350617059,8.694242103,8.601743352,8.663691673,8.744251968,8.652855715,9.114512977,8.740905806,8.686925411,7.889864062,7.938252258,8.07132944,8.292121063,8.097588385,8.237400226
AT4G02090,4.186944621,3.816641139,3.823334094,3.860733619,3.692185128,4.109514454,4.071397884,4.100225298,3.718939987,3.483657493,3.651331107,3.444892883,3.126008264,3.115633783,3.141514681,3.166873364
AT4G02120,2.101001223,2.05975344,1.969311585,2.002946149,2.26126383,2.154101266,2.423787026,2.202999188,2.257190444,2.145378052,2.035082023,2.154249927,2.031564732,2.300512917,2.558176809,2.162114092
AT4G02130,2.186969432,2.040989625,2.399337673,2.097930915,2.138997922,2.128963927,2.24748584,2.133531851,2.090360216,2.008855582,2.167008329,1.662390197,1.774682445,2.355114017,2.079988044,2.241389847
AT4G02140,1.943482464,1.941663263,1.836226227,1.767360618,2.074409943,2.014728635,1.926305703,1.881052636,1.983082725,1.849224215,1.828868968,1.773869121,1.858844457,1.886333614,2.409015585,1.964051357
AT4G02150,4.763066923,4.220539252,4.878416365,4.816104672,4.359779809,5.14308245,4.554971455,4.525284218,4.69669344,4.823960345,3.979901776,3.942682478,4.278092462,4.080165439,4.57640276,4.304460265
AT4G02170,2.045306304,2.555207351,2.521177236,2.276172986,2.487026919,2.437669192,2.361738858,2.412273775,2.634008537,3.119558322,2.593017833,2.080894198,2.390177491,2.583384326,2.747394945,2.516296953
AT4G02180,2.085551171,1.803078655,1.666796716,1.790519478,2.31987366,2.082194291,1.736466696,1.971464392,2.263927357,1.859325915,1.904908783,1.726965436,1.851688312,1.720844026,1.998494564,1.820871057
AT4G02195,2.868124168,2.622809325,3.165119404,3.620925096,2.658350889,2.892670638,2.904518636,2.960282961,2.776051069,2.852704197,2.801324639,2.519216363,2.902966402,2.866087972,2.856394626,2.756255453
AT4G02200,4.688528634,4.352697727,4.662837564,4.779565342,5.033457236,4.812157942,5.257885299,4.771410027,4.715806493,4.845633132,4.357869582,4.513417622,4.355439409,4.953620723,4.458719344,4.49919484
AT4G02210,3.13858191,2.01800626,2.978906854,2.78184528,2.611820339,3.001141255,2.85672565,2.999834412,2.695436824,2.377430597,2.644150892,2.604512859,2.767806391,2.548790461,2.65673169,2.68337098
AT4G02220,5.919819665,5.584799134,5.851901507,5.91142505,5.785185656,5.763871862,5.858536542,5.775209744,6.080953801,5.530203811,5.83773503,6.100075764,5.858199777,5.961792543,5.798043032,5.677777654
AT4G02230,8.862573698,8.683254205,9.0175169,8.859310222,8.906574056,8.913123413,8.59836021,8.818521892,8.704398314,8.659065973,8.406677418,8.149760363,8.449110619,8.619066296,8.362080835,8.381215481
AT4G02260,3.086944888,2.720607124,2.892065214,2.683083034,2.648636012,3.016173682,2.984586076,3.202730444,2.774638341,2.675008104,2.884892628,3.146772608,2.765960002,2.400461525,2.550122475,2.788491842
AT4G02270,1.749017906,1.942485758,1.933436099,2.004483379,2.16798223,1.837588618,1.876004271,1.934032421,2.113458107,1.958870904,1.942736668,2.180335223,2.068544991,2.007843034,1.795892235,1.94561839
AT4G02280,5.611211422,5.67462498,5.517198082,5.79349073,5.506192205,5.563844619,5.910566417,6.0599375,5.631147199,5.36334607,5.645429808,5.534304006,5.689001502,4.831557573,5.1352047,5.700822465
AT4G02290,2.180734789,2.230540405,2.312924894,2.307927001,2.506029952,2.310533762,1.958296804,2.253432517,2.714687056,2.041008044,2.230540405,2.305725837,2.190071273,2.325148322,2.442775825,1.822314614
AT4G02330,1.919795504,1.722164027,1.70284833,1.607544926,1.995111919,1.642139364,1.66735586,1.841670144,1.921512103,1.681900719,1.725051975,2.191580602,1.636908832,1.542987748,2.103887103,1.815553681
AT4G02340,5.682546726,6.13190492,5.745854139,5.418329631,6.359584501,5.378233409,5.797350791,5.758884656,5.344080249,5.596093775,5.643397783,5.344109522,5.432250363,5.101404376,5.520059963,5.454597387
AT4G02350,2.012082405,2.093423206,2.328127251,2.103507142,2.075571873,2.360340169,1.939705881,2.717128451,2.223814466,2.165025685,1.898250081,2.195440194,2.402864025,1.635903367,2.054771628,2.270044976
AT4G02360,2.646444858,3.33204653,2.884191096,2.966681929,2.788549419,2.360767488,2.747861445,2.616559042,3.123565482,2.684040934,2.899922385,2.862162169,3.002607976,3.135324145,3.39590679,2.927143741
AT4G02370,7.890294311,8.048885967,7.88223677,7.908939611,8.257750311,7.881079259,8.253491589,8.193113187,7.922411927,8.089400492,7.7504846,7.927958213,8.066780358,8.012076103,7.743105068,7.937202047
AT4G02390,1.933436099,2.214867629,2.074762869,2.048974634,2.329792324,2.300513886,1.924284951,2.093522049,1.96306465,2.022128965,2.290381796,2.086429981,2.05233904,1.936072828,2.172339966,1.885851671
AT4G02400,2.142956113,2.352120068,2.206171813,1.946440338,1.853149767,2.209515742,2.000246745,1.907565098,1.882356932,1.957018594,2.088845538,1.751353544,2.103594711,2.181066479,2.392552263,2.134142052
