Sample.Name,Atha_Col-0_Root_Zone-I_Rep1_Array,Atha_Col-0_Root_Zone-I_Rep2_Array,Atha_Col-0_Root_Zone-I_Rep3_Array,Atha_Col-0_Root_Zone-II_Rep1_Array,Atha_Col-0_Root_Zone-II_Rep2_Array,Atha_Col-0_Root_Zone-II_Rep3_Array
AT1G67120,6.29135102,6.9659928,6.718312345,3.753101973,4.372066978,3.715169016
AT1G67140,6.684635708,6.286370005,6.902834163,5.613798902,5.672323576,6.233999186
AT1G67180,2.988869772,2.801415441,2.995691529,1.964199886,1.818328887,1.657292849
AT1G67210,2.577589305,2.757972473,2.718846325,2.339353767,2.164998186,2.407484301
AT1G67230,7.982836497,7.418337019,7.398508639,6.844963675,7.763811595,7.846933419
AT1G67250,9.452233821,9.381020217,9.422645419,8.274614661,8.365757077,8.667966316
AT1G67280,6.090339328,5.772189686,5.883340009,6.263131633,6.037790343,5.578257227
AT1G67300,5.010999053,4.556998552,4.694555003,4.767247682,5.365682692,5.032415321
AT1G67310,3.647810636,3.284887145,3.592661588,4.474614533,4.266334894,4.425144755
AT1G67320,5.188309452,5.485310993,5.521365541,4.495702251,4.627302846,4.327187849
AT1G67330,7.590511031,7.01643418,7.0527604,7.944738761,8.309594707,8.804529203
AT1G67340,1.650035518,2.019737414,1.786296415,2.678283993,3.022239926,2.407484301
AT1G67350,8.684644432,8.623317886,8.459387136,8.897648124,8.703853884,8.707493543
AT1G67360,6.414770679,6.030138454,6.401731716,5.065328452,6.054222399,6.113095479
AT1G67370,4.467031388,3.925388288,4.756357807,2.635107771,2.940907554,3.286348621
AT1G67400,2.971697457,2.095982733,1.907308202,1.98585892,1.701241281,1.710040033
AT1G67410,4.67726984,4.596990447,4.454168764,4.997665535,4.095297553,4.648388858
AT1G67420,4.742173768,5.067692867,5.424668084,2.437474141,3.069549237,2.806657729
AT1G67430,11.1384596,10.95285268,10.98522271,9.520927792,9.795870093,9.846697877
AT1G67440,3.219703671,3.122790724,3.073152635,3.33030612,2.775902916,3.049633271
AT1G67460,1.732498161,1.959729273,2.024664553,2.086960268,2.1460611,1.864760751
AT1G67470,1.638764657,1.996677955,2.262992921,2.248611701,1.995069485,2.144315161
AT1G67480,7.019215516,5.882321834,6.243209769,8.202520117,7.892816456,7.757359215
AT1G67490,5.418447658,6.126602895,5.784411382,4.108765675,4.320177766,4.196684599
AT1G67500,3.978871816,4.047338542,4.899094822,3.972047983,3.536329877,3.573235209
AT1G67510,3.403676968,3.383419439,3.547454724,4.680369433,5.655629815,5.242027771
AT1G67530,2.515134635,2.309973254,2.74356125,3.289257024,3.243769054,3.425268205
