"","1: upregulation, -1: downregulation","Symbol","ZoneII-ZoneI","ZoneI_Rep1","ZoneI_Rep2","ZoneI_Rep3","ZoneII_Rep1","ZoneII_Rep2","ZoneII_Rep3"
"121","AT1G61590",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.58496250072116,3.58496250072116,3.4594316186373
"122","AT1G61660",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.32192809488736,3.32192809488736
"123","AT1G61667",NA,1,2.58496250072116,2.8073549220576,2.58496250072116,3.16992500144231,3.16992500144231,3.32192809488736
"124","AT1G61820",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.4594316186373,3.4594316186373,3.4594316186373
"125","AT1G61950",NA,1,2.32192809488736,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3.16992500144231
"126","AT1G62320",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3.16992500144231
"127","AT1G62500",NA,-1,3.32192809488736,3.32192809488736,3.32192809488736,2.8073549220576,2.58496250072116,2.58496250072116
"128","AT1G62510",NA,1,3.16992500144231,3,2.8073549220576,3.70043971814109,3.70043971814109,3.70043971814109
"129","AT1G62810",NA,-1,3.4594316186373,3.4594316186373,3.4594316186373,2.8073549220576,2.8073549220576,2.8073549220576
"130","AT1G62980",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.8073549220576,3.70043971814109,3.70043971814109
"131","AT1G62990",NA,1,2.58496250072116,2.8073549220576,2.58496250072116,3.58496250072116,3.4594316186373,3.4594316186373
"132","AT1G63650",NA,-1,3.32192809488736,3.32192809488736,3.32192809488736,2.58496250072116,2.58496250072116,2.58496250072116
"133","AT1G64185",NA,-1,3.32192809488736,3.32192809488736,3.32192809488736,2.58496250072116,2.58496250072116,2.8073549220576
"134","AT1G65570",NA,-1,2.8073549220576,3.32192809488736,3.32192809488736,2.58496250072116,2.58496250072116,2.58496250072116
"135","AT1G65610",NA,1,3,2.8073549220576,2.8073549220576,3.4594316186373,3.4594316186373,3.4594316186373
