Sample.Name,Atha_Ler.0_sShoots_FLT_Rep1,Atha_Ler.0_sShoots_FLT_Rep2,Atha_Ler.0_sShoots_FLT_Rep3,Atha_Ler.0_sShoots_GC_Rep1,Atha_Ler.0_sShoots_GC_Rep2,Atha_Ler.0_sShoots_GC_Rep3
AT1G30650,3.095712689,3.012716285,2.871563153,3.293445046,3.082447767,3.048568155
AT1G30690,3.300790032,3.775578073,4.149149302,3.825801622,3.174377042,3.46661223
AT1G30700,1.269282152,1.368667809,1.362371922,1.283342476,1.554148325,2.129654021
AT1G30750,3.995815235,4.375946195,3.919610088,3.443929582,3.536464386,2.763600641
AT1G30760,6.611888846,5.898808562,5.944603299,6.308332438,4.990681888,6.037885189
AT1G30810,1.427119466,2.05696037,1.827924986,2.031836385,2.00727933,2.270089818
AT1G30820,4.802744752,5.61856997,5.683355076,3.998812495,4.12594737,4.064321635
AT1G30825,2.045957985,1.685263987,2.302426625,1.556279043,1.65740369,1.866960817
AT1G30840,1.895271124,1.917717976,1.470163764,1.713522433,2.026178653,1.422947993
AT1G30850,1.423971948,1.183845376,1.434677824,1.834737973,1.569075655,1.333064341
AT1G30860,1.278636821,1.257222149,1.484782554,1.274553619,4.043335641,4.665352261
AT1G30870,1.199575147,1.240054064,1.346696209,1.19154812,1.395176418,1.259873289
AT1G30880,9.112793462,9.436196162,9.270989366,9.142300929,9.5555724,9.170055496
