"User_ID sorted by SD","Ensembl_gene_id","symbol","sl_FLT_BA_Rep1","sl_FLT_BA_Rep2","sl_FLT_BA_Rep3","sl_FLT_BA_Rep4","sl_FLT_BA_Rep5","sl_FLT_BG_Rep1","sl_GC_BA_Rep1","sl_GC_BA_Rep2","sl_GC_BA_Rep3","sl_GC_BA_Rep4","sl_GC_BA_Rep5","sl_GC_BG_Rep1","UdCC_FLT_BB_Rep1","UdCC_FLT_BB_Rep2","UdCC_FLT_BB__Rep3","UdCC_FLT_BB_Rep4","UdCC_FLT_BG_Rep1","UdCC_FLT_BG_Rep2","UdCC_GC_BB_Rep1","UdCC_GC_BB_Rep2","UdCC_GC_BB_Rep3","UdCC_GC_BB_Rep4","UdCC_GC_BG_Rep1","UdCC_GC_BG_Rep2"
" AT2G03980","AT2G03980","",1,1,1,2,1,2,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,3,1,2
" AT2G11520","AT2G11520","",2,2,1,2,2,2,1,1,2,2,2,3,1,1,1,1,1,1,2,1,1,1,1,2
" AT2G17520","AT2G17520","",2,2,1,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
" AT2G17880","AT2G17880","",1,2,1,1,1,1,3,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,2,2
" AT2G21070","AT2G21070","",2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,3,2,2,1,2,1
" AT2G25350","AT2G25350","",2,3,1,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1
" AT2G26000","AT2G26000","",2,1,1,2,2,2,3,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2
" AT2G27090","AT2G27090","",2,1,2,2,1,2,3,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1
" AT2G29190","AT2G29190","",1,1,2,1,1,2,2,2,1,1,2,2,3,1,2,1,2,1,1,2,2,1,1,1
" AT2G30105","AT2G30105","",1,2,2,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,2,3,2,1,1
" AT2G37870","AT2G37870","",1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,2,3,2,2,2
" AT2G41705","AT2G41705","",1,1,2,1,1,1,2,1,1,1,2,2,1,2,3,1,1,2,2,1,2,2,1,2
