Analysis.Id,0point09G_Rep1,0point09G_Rep2,0point09G_Rep3,0point18G_Rep1,0point18G_Rep2,0point18G_Rep3,0point36G_Rep1,0point36G_Rep2,0point36G_Rep3,0point57G_Rep1,0point57G_Rep2,0point57G_Rep3,0point57G_Rep4,1G_Rep1,1G_Rep2,1G_Rep3,uG_Rep1,uG_Rep2,uG_Rep3,uG_Rep4
AT1G50510,166.7858085,162.1873293,129.840368,165.8628317,177.8544738,157.9241172,156.5704894,156.0599839,151.3603509,167.7877075,169.3719284,158.2582905,157.0226782,171.9182047,171.6428037,156.0615392,163.9066904,145.6424556,163.090928,134.9637159
AT1G50560,308.4010083,240.1444214,287.5104816,307.0695086,354.3611166,384.8474582,349.4141337,302.9276657,338.1931018,216.2389696,347.9915411,312.3338565,321.381827,236.3937466,271.6374798,235.8169044,358.1778944,237.0893893,257.3804668,363.3870313
AT1G50570,415.1892068,402.5399644,352.2729397,405.1695713,453.2807213,417.2185636,415.2649527,481.2064957,387.8780784,507.5461032,457.44018,460.9178866,390.2366724,383.1825384,426.524779,404.7693127,394.9718897,394.4436124,428.3019478,361.1246635
AT1G50575,119.2735955,80.26089374,98.49737624,91.6862753,93.53900702,100.5983024,113.572078,62.41822527,98.04725114,102.0905243,88.28052474,55.38695128,85.39852893,84.59817584,76.99564474,87.10714498,79.01129828,76.5207094,110.1866131,98.14157862
AT1G50580,54.58820301,40.55304521,44.77488108,70.05719741,44.79216613,64.36227743,55.126677,73.29610177,45.46933129,28.29971955,64.0902908,42.20832892,65.19614019,53.66241458,61.19457726,36.29044269,63.66488743,38.26583209,58.78386966,68.38070324
AT1G50600,726.5328199,690.3116403,872.1159062,1229.161066,757.1094464,848.9124291,830.5645513,1251.911929,806.0349924,823.0805455,908.997286,1033.166015,883.0430045,1034.467217,942.1822474,1061.119863,782.8470592,863.7875314,930.2242415,875.7116186
AT1G50620,280.1282844,236.0782293,223.9417864,186.5268113,231.8409474,224.9769684,197.275448,201.1349825,197.1264464,237.4272443,230.2766429,214.7384139,200.1723167,213.6212544,231.8052894,192.9749399,204.9364057,245.7837357,198.6364378,212.5581063
AT1G50630,196.4890827,333.2786991,438.6625138,730.5391493,367.3035048,411.5835958,385.489101,913.7221563,528.5432841,267.742771,421.650409,605.8930159,477.1828444,583.4415573,347.7701159,551.9179486,437.3534144,412.8629207,410.8130456,506.3034489
AT1G50640,558.0949805,557.1665233,448.6945172,410.0823881,482.1557093,420.1642595,464.0984507,488.8659154,470.7749123,596.2332431,504.9355143,478.5096439,426.9830043,518.3263982,566.2003787,468.0654675,479.6655292,483.9813978,505.7692005,468.4745216
AT1G50660,626.0436445,538.5257539,567.9528545,581.2556127,575.6375161,659.6831589,588.4702038,527.43977,526.2077952,504.1138974,595.3587422,629.3664211,496.7539254,568.073999,613.9568635,509.2287779,582.8834892,543.5084437,490.0970687,555.3357175
AT1G50670,309.8527516,386.5120772,370.2603117,416.712312,395.542381,459.1686546,408.6219369,351.0033353,458.2261855,380.3066343,419.5971927,308.738978,357.293294,357.7342925,400.3212254,405.1608752,394.6417446,338.0721487,453.7195162,339.3808388
AT1G50700,72.86287244,68.61342907,81.94512671,84.91583931,93.19990911,78.30179941,88.13017056,72.35941175,78.37710451,84.12781222,93.93690557,61.61504565,83.92631301,81.92647973,70.07471893,72.78166105,92.9434791,99.05166424,93.46767948,110.5834801
AT1G50710,163.7831698,166.3922422,170.159192,172.065702,133.0550971,175.9256089,174.1806274,160.2223233,172.3624899,137.441198,153.0461334,173.2713917,168.957248,167.3273865,143.1452103,170.5423199,149.6874099,143.2118908,176.412744,163.1499751
AT1G50740,222.1877184,208.9565102,263.9866179,354.1810246,275.407078,323.7910154,312.2991549,281.5132735,256.0842259,253.9060075,277.0788574,193.9568833,376.5165189,317.837868,293.1394897,375.6512339,284.7997203,320.5086171,381.0136783,314.2181324
