"","1: upregulation, -1: downregulation","Symbol","X1G-009G","X1G-018G","X1G-036G","X1G-057G","X1G-uG","X0point09G_Rep1","X0point09G_Rep2","X0point09G_Rep3","X0point18G_Rep1","X0point18G_Rep2","X0point18G_Rep3","X0point36G_Rep1","X0point36G_Rep2","X0point36G_Rep3","X0point57G_Rep1","X0point57G_Rep2","X0point57G_Rep3","X0point57G_Rep4","X1G_Rep1","X1G_Rep2","X1G_Rep3","uG_Rep1","uG_Rep2","uG_Rep3","uG_Rep4"
"44","AT2G26530",NA,1,0,0,0,0,6.59480646766966,6.00320092868942,6.56568793351651,7.79336942234547,7.00778656782439,6.49894759126691,6.50518868781794,8.85515173092941,7.66385911322008,7.0122631562353,7.89283502070424,8.20790015753924,8.08736635467732,8.54785691883486,7.8606301840417,8.73186845665154,6.30024279863924,6.86173880824168,6.58842825939175,7.37519529059247
"45","AT2G28080",NA,1,0,0,0,0,7.11376821636828,6.79770704859836,7.32667399439744,8.64704395544123,7.69000473207972,7.40881457116618,7.79173914734484,8.31150105679341,7.91738164698624,7.54020486674934,7.55424690435384,7.84675641666576,8.72100219023374,8.55935231014237,7.63415053162598,8.76882054232945,7.64020393778031,7.8618058231734,7.51133151453788,8.14622239449886
"46","AT2G28960",NA,-1,0,0,0,0,7.93727486163741,5.86115987274957,5.38838123763077,2.58241089801467,5.55134047336112,5.79876285722573,5.72540048155944,2.99700971526536,3.58395833955358,5.24888405785112,5.0802574045835,4.69078060687703,3.45936930240274,3.4575734494359,4.89831070516871,3.00199415140589,5.31857433273275,5.21292497183836,5.32518313213506,4.31495755979173
"47","AT2G30040",NA,1,0,0,0,0,7.26159872858764,8.04775652286651,8.27647567096985,9.78190000947372,8.58520064806909,8.40024504848352,8.50905667480566,9.17644887519747,8.6815027491331,8.69105665870413,8.71642243098077,8.97451012599449,9.2359169147988,9.1493843419218,8.61590506823213,9.58516534844322,8.37569630751982,8.29846307713951,9.05343754600968,8.77926325211225
"48","AT2G31880",NA,1,0,0,0,0,9.35884063520239,9.19074274817608,9.86757269453383,10.5402106637461,10.0048915037807,9.80776967999322,9.83017610148554,10.1501173272487,9.96428380984178,10.0108935086832,10.2098163244872,9.69599171754424,10.3846861163577,10.3568374057025,10.2812980117362,11.0504199709256,9.67224839665324,10.1862728142219,10.2057278149819,10.1410594669308
"49","AT2G32020",NA,1,0,0,0,0,6.12426150407731,5.46253565375968,5.80331500792565,6.22156031498425,6.35417449819363,6.14101499856268,5.95164644954743,6.57922566620745,6.55314648631551,5.78235102941755,6.69258587653979,6.51263817956752,6.88254844230052,6.98585572308601,6.81062631022919,6.52737445024104,5.8294249801231,5.86160476903874,6.30721411948066,6.48352325963085
"50","AT2G32030",NA,1,0,0,0,0,4.58052519292571,5.04739479416944,4.75118179917055,6.36774154175575,5.55134047336112,5.2396494197444,5.31947503518194,6.80158238364977,5.64247026402974,5.21040686956469,5.72036970426332,6.0767149669349,6.22872598670208,6.26401737387193,5.79816022535478,6.36134339298735,4.69728682784261,4.64712604034223,5.39558966292901,5.84986551762314
"51","AT2G32560",NA,1,0,0,0,0,7.98344231037041,8.57702545778786,9.47140676645792,11.6910455324816,9.86836948973937,10.0742584395988,9.37666887456003,11.243136531379,9.51025440890052,9.44193205450316,9.68012114133056,9.80240987502863,10.4071701259784,10.8236338721348,9.83405989422626,10.7156430304905,9.59806311499628,9.89109603878681,10.4548170477075,10.0219821329949
"52","AT2G33580",NA,1,0,0,0,0,5.99500706788375,6.11174083166673,7.26254857779027,8.72711342702204,7.00778656782439,6.87370263904821,7.30112394182452,8.14384483274611,7.3114143700808,7.3229704159649,7.49185802934092,7.73698390238294,7.85165281045339,8.36780168619842,7.41659144960801,8.49178123739878,6.72433438253129,7.44674598592986,7.81733323644517,8.06287394756345
"53","AT2G35290",NA,1,0,0,0,0,5.16519138730552,5.61784551866889,7.28116280495053,9.08514508131687,7.43115950352526,6.73255892524618,7.904210189621,8.61612594361988,7.56076782023209,7.09906991877437,8.01432495285125,6.11851587819914,7.95409996318284,8.63010360224596,7.66271578690726,8.96684965099468,7.29098893686543,8.28924422972249,8.70402124471317,8.49122406798264
"54","AT2G35930",NA,1,0,0,0,0,8.0927835729251,7.92222094358861,8.52317309753877,10.2175647435621,9.07596014524505,8.75570184904782,9.1596844959035,10.1764282242837,9.29999924591379,9.0289668450832,9.83107067450793,9.02208825547437,10.0278084450607,10.1186229607544,9.7991040787748,10.3582227700046,8.75119517044154,8.95514514765971,9.30737414409757,9.36637366621021
"55","AT2G36090",NA,1,0,0,0,0,5.63895661750079,6.13250221626349,6.77716702130792,8.74059598483463,6.69702552871208,7.15087591272062,6.66980645674885,8.97134075523533,7.52990754624888,7.19086431809632,8.17185319316098,7.71671452602575,7.99990360343612,8.16202662321738,7.48216952050319,8.29395353299534,7.20582733481087,6.70418206582887,7.79145344242305,7.35781575086932
"56","AT2G38470",NA,1,0,0,0,0,9.60018050888424,8.96338861360034,9.44482243616675,11.1414571464993,9.61301603462799,9.33065219848954,9.64654388922423,11.2811580083164,10.5965498859681,10.3542125948373,10.5173741534229,10.7233142567844,10.8939621253975,11.1626191775507,10.6940229922971,11.880114515034,9.4350864766822,9.47554515777947,9.71095810611965,10.4568726985398
"57","AT2G39510",NA,1,0,0,0,0,2,3.32397750722339,4.38879607900217,6.65084757093472,4.99689341870156,5.34920244382213,4.45720173679556,7.32507913901135,5.99858769862921,3.46011200678706,4.80035585520652,6.39850820540718,6.10843220715097,4.85546319545577,5.34861687347256,7.33480354171284,4.69728682784261,5.09089736214208,5.39558966292901,5.63583716351767
"58","AT2G39650",NA,1,0,0,0,0,6.47064683322624,6.1930517671685,7.10429961595826,8.56226815409829,7.30942146878106,6.57609420108,7.07417055839364,8.7083158716261,8.26997603565665,7.54020486674934,7.95196463905696,8.02767110872308,8.74809583384632,8.96288662088823,8.00147691805385,9.28240937181855,7.22519131501368,7.47953792896861,7.34337707682314,8.06287394756345
"59","AT2G40140",NA,1,0,0,0,0,10.0887708049228,9.69164784716765,9.7030288363964,10.3377604994653,10.1283187102057,9.43581301237985,9.8583727617004,11.2095563105816,10.6849976816805,9.89588231057051,10.5454822093128,11.0323103099637,10.8144847566877,11.21322341709,10.5590279111436,11.3185625439106,9.5547136258558,9.95807247841155,9.9636036821999,10.4133718171721
"60","AT2G41010",NA,1,0,0,0,0,7.26159872858764,6.79770704859836,7.80308159043959,8.01481771072459,7.34526447297927,7.08904803125895,7.70468547085279,8.1640215411958,7.825068543266,8.03447572366902,8.14676419439051,7.3811681530089,8.12402478912346,8.13154688690476,8.24289135315696,8.61127504236483,7.45578954344973,7.83037183927045,7.56578223866748,8.22980211644142
"61","AT2G41410",NA,1,0,0,0,0,9.849565024398,10.0613929987064,10.4292468989113,10.8109308201146,10.0918590967889,9.99359609621353,10.3603220375727,11.4738018859423,10.9483232548958,10.86525288879,10.9114562691831,10.7584418326568,11.1897267998484,11.3330320340799,10.8230073946742,11.472603975554,10.0406813704194,10.3212922698941,10.4537861756637,10.8547122907072
"62","AT2G41640",NA,1,0,0,0,0,8.75959424945301,9.68287753672471,10.4396409098844,11.5397184524459,10.4174723033955,9.96949214957979,10.5228023337561,11.4044733870458,10.86422999794,11.031044339679,11.1642728199275,10.4500896966881,11.2008008447246,11.5502321120897,11.0635861869116,11.8847127636099,10.3549356852186,10.7982989525954,10.6671654524734,11.0641003297736
"63","AT2G42060",NA,-1,0,0,0,0,6.06108132816888,4.81028176354071,4.16654191161908,2.58241089801467,5.16676905535601,4.94613874336722,4.5213105126433,3.69629767152217,3.90578597987245,3.70117990529208,3.80152472688828,4.07873630193071,4.24785020342756,2.99854021143886,3.69359006449939,2.80906436339467,5.4228849639147,4.95758656690957,4.52654994803322,4.38526370193147
"64","AT2G45680",NA,1,0,0,0,0,7.19449113227054,8.14802411528261,8.55793739101937,9.33000104958265,8.7209965473654,8.11499930481349,8.70120386590706,8.96560457537254,8.75339495452141,9.25372746230816,9.14670670970622,7.94295897764443,9.18725481838458,8.94546985192099,9.06163183852411,9.75885462610734,8.66519477489959,9.07800445932165,9.06698433260302,9.35327848894349
